2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  __main__ : main_comm:39 | ------------------------------comm_start------------------------------
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_root : communication_root:34 | communication_root通讯配置文件读取成功。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.util.folder_util : folder_util:28 | 目录 './data/charts/port_COM2/' 创建成功或已存在。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.util.folder_util : folder_util:28 | 目录 './data/charts/port_COM3/' 创建成功或已存在。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.util.folder_util : folder_util:28 | 目录 './data/charts/port_COM7/' 创建成功或已存在。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.util.folder_util : folder_util:28 | 目录 './data/charts/port_COM9/' 创建成功或已存在。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.util.folder_util : folder_util:28 | 目录 './data/charts/port_COM11/' 创建成功或已存在。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.util.folder_util : folder_util:28 | 目录 './data/charts/port_COM13/' 创建成功或已存在。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.util.folder_util : folder_util:28 | 目录 './data/charts/port_COM15/' 创建成功或已存在。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.util.folder_util : folder_util:28 | 目录 './data/charts/port_COM17/' 创建成功或已存在。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:157 | communication_com_communication通讯配置文件读取成功。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:185 | receive串口COM2连接--当前可用端口:['COM18', 'COM1', 'COM5', 'COM6', 'COM8', 'COM10', 'COM12', 'COM14', 'COM16', 'COM2', 'COM3', 'COM7', 'COM9', 'COM11', 'COM13', 'COM15', 'COM17']
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:220 | receive串口COM2连接成功
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:157 | communication_com_communication通讯配置文件读取成功。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:185 | send串口COM1连接--当前可用端口:['COM18', 'COM1', 'COM5', 'COM6', 'COM8', 'COM10', 'COM12', 'COM14', 'COM16', 'COM2', 'COM3', 'COM7', 'COM9', 'COM11', 'COM13', 'COM15', 'COM17']
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:220 | send串口COM1连接成功
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:157 | communication_com_communication通讯配置文件读取成功。
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:185 | receive串口COM3连接--当前可用端口:['COM18', 'COM1', 'COM5', 'COM6', 'COM8', 'COM10', 'COM12', 'COM14', 'COM16', 'COM2', 'COM3', 'COM7', 'COM9', 'COM11', 'COM13', 'COM15', 'COM17']
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:220 | receive串口COM3连接成功
2025-05-21 08:29:11 | INFO |MainProcess | MainThread |  communication.communication_com : communication_com:157 | communication_com_communication通讯配置文件读取成功。
