2025-04-19 08:20:44 | INFO | __main__ : main:69 | ------------------------------start------------------------------
2025-04-19 08:20:44 | INFO | __main__ : main:71 | loading config start
2025-04-19 08:20:45 | INFO | theme.ThemeManager : ThemeManager:53 | ThemeManger:instance._current_theme:  dark
2025-04-19 08:20:45 | INFO | __main__ : main:73 | loading config finish
2025-04-19 08:20:45 | INFO | communication.communication : communication:31 | 串口配置文件读取成功。
2025-04-19 08:20:45 | ERROR | communication.communication : communication:51 | receive串口COM3连接--当前设备无可用的端口
2025-04-19 08:20:45 | ERROR | communication.communication : communication:75 | receive串口COM3连接--当前设备所设置端口COM3错误！
2025-04-19 08:20:45 | ERROR | communication.communication : communication:77 | receive串口COM3实例化失败！
2025-04-19 08:20:45 | INFO | communication.communication : communication:31 | 串口配置文件读取成功。
2025-04-19 08:20:45 | ERROR | communication.communication : communication:51 | send串口COM5连接--当前设备无可用的端口
2025-04-19 08:20:45 | ERROR | communication.communication : communication:75 | send串口COM5连接--当前设备所设置端口COM5错误！
2025-04-19 08:20:45 | ERROR | communication.communication : communication:77 | send串口COM5实例化失败！
2025-04-19 08:20:45 | INFO | __main__ : main:56 | start serial port communication!
2025-04-19 08:20:45 | INFO | __main__ : main:38 | start Qt
2025-04-19 08:20:45 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_left_bottom_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-19 08:20:46 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-19 08:20:46 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_2‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-19 08:20:46 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_3‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-19 08:20:46 | INFO | index.mainWindow : mainWindow:165 | time update thread start
2025-04-19 08:20:46 | INFO | __main__ : main:43 | Appliacation start
2025-04-19 09:12:27 | INFO | __main__ : main:69 | ------------------------------start------------------------------
2025-04-19 09:12:27 | INFO | __main__ : main:71 | loading config start
2025-04-19 09:12:27 | INFO | theme.ThemeManager : ThemeManager:53 | ThemeManger:instance._current_theme:  dark
2025-04-19 09:12:27 | INFO | __main__ : main:73 | loading config finish
2025-04-19 09:12:27 | INFO | communication.communication : communication:122 | 串口配置文件读取成功。
2025-04-19 09:12:27 | INFO | communication.communication : communication:149 | receive串口COM3连接--当前可用端口:['COM5', 'COM3']
2025-04-19 09:12:27 | INFO | communication.communication : communication:184 | receive串口COM3连接成功
2025-04-19 09:12:27 | INFO | communication.communication : communication:122 | 串口配置文件读取成功。
